"Non Component Description","Color Code","Type","Location ID","Shift ID","Depth Top","Depth Base","Description","Legend Code","Geology Code","Geology Code 2","Stratum Reference","Remarks","Soil Name","USCS","AASHTO","Consistency Min","Consistency Max","Density Min","Density Max","Color","Moisture","Plasticity","Soil Particle Size","Soil Particle Angularity","Additional Description","Geological formation","Rock Name Qualifier","Rock Name","Rock Grain Size","Bedding Min","Bedding Max","Weathering","Rock Hardness Min","Rock Hardness Conjunction","Rock Hardness Max","Fracture Spacing Min","Fracture Spacing Max","Boundary"
"","","Soil","SB-17","","7.50","10.00"," pale brown (2.5 Y 7/4), more cementation, multicolored, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-44","","7.50","30.00","Lean CLAY (CL), very stiff, pale brown (2.5 YR 8/2), dry to moist, trace fine SAND, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-21","","15.00","20.00","ANDESITE fragments, some rusting or iron oxidation, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","","SB-38","","60.30","","Terminated @ 60.3 ft bgs because of SPT and coring refusal. GW encountered @ 18.5 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-36","","55.00","70.00"," wet, sloughing in wet graded sands advancing to collect SS @ 70 ft, NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-35","","2.50","7.50","light yellowish brown (10 YR 6/4), WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-21","","30.00","31.00"," Hard, iron oxidation, NATIVE BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-18","","4.30","25.00","SILTY SAND (SM), dark gray (10 YR 4/1), dry, medium dense, WASTE","SM","","","","","","SM","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-1","","45.40","45.40"," hard, pale brown (10 YR 6/3), dry, trace fine to medium SAND, uniform with oxide stringes, BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-1","","37.00","37.00","some well graded small GRAVEL, brownish yellow (10 YR 6/6), BEDROCK ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
